x;ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BASICA - FEMALE;GAM83_BASICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos
36;0,001760;0,009090;0,000481;0,000719;0,000534;0,000794;0,001010;0,001494;0,001494;0,001378;0,001200;0,000636;0,000574;0,001077;0,000968;0,000660;0,001570;0,000510;0,001150;0,0007043;0,0012596;0,0004992;0,0009202;0,0007012;0,0012240;0,0004760;0,0008651;0,003020;0,004860;0,002640;0,002360;0,002320;0,002720;0,002640;0,001240;0,001530;0,002240;0,002140;0,000698;0,001204;0,000502;0,000558;0,001008;0,000907;0,000512;0,000862;0,002752;0,002686;0,002622;0,002541
37;0,001910;0,009230;0,000504;0,000749;0,000558;0,000823;0,001085;0,001607;0,001607;0,001495;0,001300;0,000673;0,000607;0,001146;0,001032;0,000710;0,001660;0,000540;0,001210;0,0007494;0,0013443;0,0005337;0,0009512;0,0007559;0,0012896;0,0005094;0,0009091;0,003210;0,005150;0,002800;0,002455;0,002400;0,002905;0,002800;0,001310;0,001680;0,002400;0,002336;0,000750;0,001295;0,000536;0,000595;0,001073;0,000966;0,000551;0,000891;0,002899;0,002850;0,002770;0,002687
38;0,002090;0,009410;0,000532;0,000796;0,000590;0,000872;0,001167;0,001733;0,001733;0,001624;0,001400;0,000717;0,000646;0,001232;0,001114;0,000760;0,001760;0,000580;0,001280;0,0007991;0,0014038;0,0005578;0,0009876;0,0008171;0,0013672;0,0005474;0,0009630;0,003450;0,005460;0,003010;0,002575;0,002510;0,003130;0,003010;0,001410;0,001880;0,002580;0,002579;0,000807;0,001397;0,000573;0,000637;0,001154;0,001039;0,000598;0,000939;0,003081;0,003006;0,002936;0,002851
39;0,002280;0,009590;0,000567;0,000864;0,000630;0,000945;0,001256;0,001872;0,001872;0,001767;0,001510;0,000769;0,000691;0,001341;0,001216;0,000820;0,001860;0,000620;0,001360;0,000863;0,0014580;0,0005769;0,0010291;0,0008851;0,0014576;0,0005903;0,0010268;0,003720;0,005810;0,003250;0,002720;0,002640;0,003390;0,003250;0,001530;0,002100;0,002790;0,002859;0,000869;0,001509;0,000617;0,000686;0,001253;0,001128;0,000652;0,000999;0,003275;0,003202;0,003121;0,003035
40;0,002480;0,009790;0,000609;0,000953;0,000677;0,001043;0,001355;0,002025;0,002025;0,001925;0,001630;0,000827;0,000742;0,001476;0,001341;0,000880;0,001980;0,000660;0,001440;0,0009412;0,0015362;0,0005968;0,0010883;0,0009604;0,0015612;0,0006384;0,0011019;0,004020;0,006180;0,003530;0,002905;0,002800;0,003685;0,003530;0,001680;0,002360;0,003020;0,003168;0,000938;0,001633;0,000665;0,000739;0,001375;0,001238;0,000709;0,001072;0,003481;0,003419;0,003322;0,003235
41;0,002710;0,010010;0,000658;0,001065;0,000732;0,001168;0,001464;0,002220;0,002220;0,002099;0,001790;0,000894;0,000801;0,001641;0,001492;0,000950;0,002110;0,000710;0,001530;0,001041;0,0016430;0,0006254;0,0011563;0,0010437;0,0016790;0,0006924;0,0011874;0,004370;0,006590;0,003840;0,003130;0,003010;0,004005;0,003840;0,001880;0,002650;0,003290;0,003515;0,001013;0,001789;0,000716;0,000796;0,001522;0,001370;0,000768;0,001156;0,003730;0,003631;0,003542;0,003453
42;0,002930;0,010250;0,000715;0,001201;0,000796;0,001322;0,001583;0,002481;0,002481;0,002290;0,002000;0,000967;0,000867;0,001842;0,001673;0,001030;0,002250;0,000770;0,001640;0,0011431;0,0017815;0,0006793;0,0012443;0,0011356;0,0018117;0,0007525;0,0012848;0,004750;0,007030;0,004170;0,003390;0,003250;0,004350;0,004170;0,002100;0,002950;0,003560;0,003910;0,001094;0,002000;0,000775;0,000861;0,001697;0,001527;0,000825;0,001252;0,003986;0,003891;0,003785;0,003693
43;0,003180;0,010520;0,000781;0,001362;0,000868;0,001505;0,001715;0,002804;0,002804;0,002499;0,002260;0,001048;0,000942;0,002079;0,001886;0,001110;0,002400;0,000830;0,001750;0,0012474;0,0018980;0,000746;0,0013505;0,0012369;0,0019605;0,0008194;0,0013940;0,005180;0,007510;0,004530;0,003685;0,003530;0,004725;0,004530;0,002360;0,003280;0,003870;0,004333;0,001186;0,002260;0,000842;0,000935;0,001905;0,001715;0,000877;0,001352;0,004268;0,004154;0,004054;0,003957
44;0,003460;0,010830;0,000855;0,001547;0,000950;0,001715;0,001859;0,003187;0,003187;0,002727;0,002570;0,001139;0,001026;0,002352;0,002129;0,001200;0,002560;0,000890;0,001870;0,0013457;0,0020322;0,0008159;0,0014798;0,0013483;0,0021263;0,0008936;0,0015160;0,005640;0,008040;0,004920;0,004005;0,003840;0,005135;0,004920;0,002650;0,003640;0,004190;0,004795;0,001286;0,002569;0,000919;0,001021;0,002147;0,001932;0,000923;0,001458;0,004573;0,004463;0,004348;0,004243
45;0,003760;0,011160;0,000939;0,001752;0,001043;0,001948;0,002019;0,003625;0,003625;0,002975;0,002920;0,001242;0,001122;0,002657;0,002399;0,001300;0,002750;0,000960;0,002000;0,001455;0,0021748;0,0008868;0,0016034;0,0014709;0,0023107;0,0009759;0,0016514;0,006150;0,008610;0,005350;0,004350;0,004170;0,005589;0,005350;0,002950;0,004030;0,004550;0,005304;0,001397;0,002922;0,001010;0,001122;0,002426;0,002183;0,000973;0,001578;0,004907;0,004778;0,004671;0,004558
46;0,004120;0,011560;0,001035;0,001974;0,001148;0,002198;0,002196;0,004116;0,004116;0,003244;0,003320;0,001362;0,001231;0,002988;0,002693;0,001400;0,002950;0,001040;0,002150;0,0015758;0,0023466;0,0009663;0,0017246;0,0016057;0,0025149;0,0010670;0,0018018;0,006700;0,009230;0,005830;0,004725;0,004530;0,006094;0,005830;0,003280;0,004460;0,004920;0,005881;0,001519;0,003318;0,001117;0,001241;0,002745;0,002471;0,001033;0,001722;0,005264;0,005127;0,005016;0,004894
47;0,004550;0,012000;0,001141;0,002211;0,001267;0,002463;0,002391;0,004657;0,004657;0,003535;0,003750;0,001500;0,001356;0,003343;0,003009;0,001520;0,003170;0,001120;0,002310;0,0017322;0,0025429;0,0010661;0,0018463;0,0017537;0,0027404;0,0011675;0,0019683;0,007310;0,009910;0,006360;0,005135;0,004920;0,006654;0,006360;0,003640;0,004940;0,005320;0,006459;0,001654;0,003754;0,001237;0,001374;0,003100;0,002790;0,001112;0,001899;0,005629;0,005486;0,005371;0,005242
48;0,005020;0,012510;0,001261;0,002460;0,001400;0,002740;0,002606;0,005246;0,005246;0,003849;0,004230;0,001658;0,001499;0,003718;0,003343;0,001640;0,003410;0,001210;0,002490;0,0019093;0,0027966;0,001167;0,0020009;0,0019163;0,0029891;0,0012786;0,0021525;0,007980;0,010640;0,006950;0,005589;0,005350;0,007274;0,006950;0,004030;0,005470;0,005740;0,007123;0,001802;0,004228;0,001366;0,001518;0,003487;0,003138;0,001206;0,002102;0,005997;0,005848;0,005731;0,005597
49;0,005540;0,013110;0,001393;0,002721;0,001548;0,003028;0,002845;0,005880;0,005880;0,004187;0,004740;0,001837;0,001657;0,004110;0,003694;0,001780;0,003670;0,001310;0,002680;0,0021023;0,0030327;0,0012926;0,0021789;0,0020948;0,0032632;0,0014010;0,0023563;0,008720;0,011450;0,007600;0,006094;0,005830;0,007959;0,007600;0,004460;0,006060;0,006210;0,007835;0,001967;0,004740;0,001505;0,001672;0,003903;0,003513;0,001310;0,002326;0,006378;0,006241;0,006105;0,005967
50;0,006100;0,013780;0,001538;0,002994;0,001710;0,003330;0,003109;0,006557;0,006557;0,004550;0,005290;0,002033;0,001830;0,004518;0,004057;0,001930;0,003960;0,001420;0,002900;0,0022899;0,0033904;0,0014107;0,0023873;0,0022908;0,0035646;0,0015363;0,0025803;0,009520;0,012320;0,008320;0,006654;0,006360;0,008713;0,008320;0,004940;0,006710;0,006710;0,008625;0,002151;0,005285;0,001647;0,001830;0,004343;0,003909;0,001428;0,002579;0,006781;0,006633;0,006501;0,006359
51;0,006630;0,014540;0,001695;0,003279;0,001888;0,003647;0,003361;0,007277;0,007277;0,004943;0,005880;0,002246;0,002016;0,004938;0,004431;0,002090;0,004270;0,001550;0,003130;0,002486;0,0037727;0,0015282;0,0026229;0,0025059;0,0038959;0,0016854;0,0028275;0,010400;0,013270;0,009110;0,007274;0,006950;0,009533;0,009110;0,005470;0,007420;0,007300;0,009483;0,002324;0,005867;0,001793;0,001992;0,004804;0,004324;0,001568;0,002872;0,007228;0,007064;0,006940;0,006794
52;0,007170;0,015390;0,001864;0,003576;0,002079;0,003980;0,003642;0,008038;0,008038;0,005378;0,006460;0,002474;0,002215;0,005370;0,004812;0,002280;0,004620;0,001690;0,003390;0,0026688;0,0042051;0,0016306;0,0029034;0,0027417;0,0042598;0,0018495;0,0030997;0,011370;0,014300;0,009960;0,007959;0,007600;0,010423;0,009960;0,006060;0,008190;0,007960;0,010428;0,002520;0,006480;0,001949;0,002165;0,005283;0,004755;0,001734;0,003213;0,007738;0,007570;0,007441;0,007289
53;0,007730;0,016330;0,002047;0,003884;0,002286;0,004331;0,003957;0,008840;0,008840;0,005868;0,007090;0,002716;0,002426;0,005811;0,005198;0,002480;0,004990;0,001850;0,003670;0,0028667;0,0046575;0,0017601;0,0032172;0,0030007;0,0046592;0,0020305;0,0033996;0,012440;0,015430;0,010890;0,008713;0,008320;0,011392;0,010890;0,006710;0,009030;0,008710;0,011460;0,002738;0,007127;0,002120;0,002355;0,005778;0,005200;0,001907;0,003584;0,008326;0,008156;0,008016;0,007858
54;0,008370;0,017400;0,002244;0,004203;0,002507;0,004698;0,004310;0,009682;0,009682;0,006428;0,007740;0,002971;0,002650;0,006260;0,005591;0,002700;0,005410;0,002030;0,003980;0,0030948;0,0050194;0,0019246;0,0035536;0,0032850;0,0050975;0,0022300;0,0037295;0,013610;0,016650;0,011900;0,009533;0,009110;0,012447;0,011900;0,007420;0,009940;0,009560;0,012590;0,002982;0,007806;0,002315;0,002572;0,006289;0,005660;0,002084;0,003979;0,008985;0,008813;0,008661;0,008495
55;0,009110;0,018570;0,002457;0,004534;0,002746;0,005077;0,004705;0,010565;0,010565;0,007073;0,008420;0,003242;0,002891;0,006718;0,005994;0,002940;0,005860;0,002230;0,004310;0,0033761;0,0055152;0,0021113;0,0039070;0,0035968;0,0055783;0,0024494;0,0040923;0,014880;0,017980;0,013000;0,010423;0,009960;0,013601;0,013000;0,008190;0,010930;0,010470;0,013808;0,003256;0,008519;0,002541;0,002823;0,006812;0,006131;0,002294;0,004425;0,009701;0,009528;0,009361;0,009186
56;0,010000;0,019890;0,002689;0,004876;0,003003;0,005465;0,005146;0,011491;0,011491;0,007818;0,009120;0,003528;0,003151;0,007184;0,006409;0,003210;0,006350;0,002450;0,004680;0,0036901;0,0059796;0,0023298;0,0042981;0,0039388;0,0061056;0,0026910;0,0044915;0,016240;0,019430;0,014210;0,011392;0,010890;0,014870;0,014210;0,009030;0,012020;0,011460;0,015105;0,003574;0,009262;0,002803;0,003114;0,007353;0,006618;0,002563;0,004949;0,010457;0,010283;0,010102;0,009918
57;0,011010;0,021340;0,002942;0,005228;0,003280;0,005861;0,005640;0,012460;0,012460;0,008678;0,009850;0,003832;0,003432;0,007658;0,006839;0,003510;0,006900;0,002710;0,005090;0,0040317;0,0065447;0,002564;0,0047163;0,0043144;0,0066842;0,0029570;0,0049304;0,017700;0,021000;0,015540;0,012447;0,011900;0,016264;0,015540;0,009940;0,013220;0,012490;0,016492;0,003948;0,010039;0,003103;0,003448;0,007932;0,007139;0,002919;0,005581;0,011251;0,011073;0,010879;0,010686
58;0,012150;0,022940;0,003218;0,005593;0,003578;0,006265;0,006193;0,013476;0,013476;0,009666;0,010610;0,004155;0,003739;0,008146;0,007290;0,003840;0,007490;0,002990;0,005540;0,0044048;0,0070133;0,0028004;0,0051323;0,0047266;0,0073185;0,0032498;0,0054136;0,019240;0,022710;0,017000;0,013601;0,013000;0,017788;0,017000;0,010930;0,014540;0,013590;0,017948;0,004388;0,010889;0,003443;0,003825;0,008577;0,007719;0,003359;0,006300;0,012078;0,011892;0,011689;0,011487
59;0,013310;0,024720;0,003523;0,005988;0,003907;0,006694;0,006812;0,014542;0,014542;0,010782;0,011410;0,004515;0,004081;0,008671;0,007782;0,004200;0,008140;0,003300;0,006030;0,004809;0,0077397;0,0030334;0,0055507;0,0051784;0,0080136;0,0035722;0,0059450;0,020870;0,024570;0,018590;0,014870;0,014210;0,019457;0,018590;0,012020;0,015980;0,014770;0,019485;0,004901;0,011924;0,003821;0,004246;0,009315;0,008384;0,003863;0,007090;0,012949;0,012750;0,012542;0,012329
60;0,014870;0,026690;0,003863;0,006428;0,004277;0,007170;0,007504;0,015662;0,015662;0,012027;0,012250;0,004927;0,004467;0,009266;0,008338;0,004590;0,008860;0,003650;0,006560;0,0052625;0,0084372;0,0033009;0,0060008;0,0056749;0,0087755;0,0039267;0,0065296;0,022620;0,026590;0,020340;0,016264;0,015540;0,021280;0,020340;0,013220;0,017560;0,016080;0,021122;0,005489;0,013119;0,004241;0,004712;0,010175;0,009158;0,004439;0,007976;0,013887;0,013674;0,013461;0,013238
61;0,016490;0,028880;0,004242;0,006933;0,004699;0,007714;0,008278;0,016869;0,016919;0,013401;0,013130;0,005411;0,004908;0,009961;0,008983;0,005010;0,009640;0,004030;0,007150;0,0057335;0,0092120;0,0035957;0,0065038;0,0062190;0,0096105;0,0043170;0,0071722;0,024510;0,028780;0,022240;0,017788;0,017000;0,023263;0,022240;0,014540;0,019260;0,017540;0,022878;0,006156;0,014440;0,004703;0,005225;0,011182;0,010064;0,005093;0,008986;0,014904;0,014678;0,014460;0,014226
62;0,018310;0,031290;0,004668;0,007520;0,005181;0,008348;0,009144;0,018199;0,018348;0,014901;0,014070;0,005983;0,005413;0,010787;0,009740;0,005480;0,010490;0,004450;0,007800;0,0062466;0,0098629;0,0039135;0,0070974;0,0068166;0,0105257;0,0047469;0,0078789;0,026600;0,031180;0,024310;0,019457;0,018590;0,025426;0,024310;0,015980;0,021100;0,019190;0,024811;0,006898;0,015863;0,005210;0,005789;0,012370;0,011133;0,005832;0,010147;0,015997;0,015763;0,015534;0,015288
63;0,020340;0,033940;0,005144;0,008207;0,005732;0,009093;0,010112;0,019666;0,019986;0,016526;0,015080;0,006656;0,005990;0,011769;0,010630;0,005990;0,011430;0,004910;0,008510;0,0067445;0,0106900;0,0042898;0,0078021;0,0074716;0,0115288;0,0052206;0,0086564;0,028860;0,033760;0,026570;0,021280;0,020340;0,027788;0,026570;0,017560;0,023090;0,021060;0,026912;0,007712;0,017413;0,005769;0,006410;0,013768;0,012391;0,006677;0,011471;0,017176;0,016938;0,016693;0,016431
64;0,022600;0,036870;0,005671;0,009008;0,006347;0,009968;0,011195;0,021283;0,021868;0,018286;0,016190;0,007416;0,006633;0,012920;0,011664;0,006540;0,012460;0,005410;0,009290;0,0072829;0,0116459;0,0047135;0,0086713;0,0081907;0,0126271;0,0057413;0,0095116;0,031310;0,036580;0,029040;0,023263;0,022240;0,030375;0,029040;0,019260;0,025250;0,023140;0,029162;0,008608;0,019185;0,006386;0,007095;0,015409;0,013868;0,007621;0,012940;0,018452;0,018215;0,017949;0,017669
65;0,025070;0,040130;0,006250;0,009940;0,007017;0,010993;0,012406;0,023066;0,024012;0,020192;0,017410;0,008241;0,007336;0,014248;0,012851;0,007140;0,013580;0,005930;0,010140;0,0078072;0,0125490;0,0052346;0,0095833;0,0089797;0,0138316;0,0063149;0,0104519;0,034000;0,039640;0,031750;0,025426;0,024310;0,033221;0,031750;0,021100;0,027610;0,025420;0,031620;0,009563;0,021260;0,007064;0,007849;0,017324;0,015592;0,008636;0,014535;0,019805;0,019569;0,019281;0,018981
66;0,027770;0,043710;0,006878;0,011016;0,007734;0,012188;0,013759;0,025030;0,026412;0,022256;0,018770;0,009114;0,008090;0,015761;0,014199;0,007780;0,014810;0,006480;0,011070;0,0084053;0,0135129;0,0057864;0,0105349;0,0098450;0,0151511;0,0069472;0,0114859;0,037000;0,042960;0,034740;0,027788;0,026570;0,036361;0,034740;0,023090;0,030210;0,027850;0,034364;0,010565;0,023643;0,007817;0,008686;0,019532;0,017579;0,009694;0,016239;0,021276;0,021042;0,020731;0,020413
67;0,030700;0,047650;0,007555;0,012251;0,008491;0,013572;0,015272;0,027193;0,029045;0,024491;0,020290;0,010012;0,008888;0,017467;0,015717;0,008500;0,016160;0,007100;0,012100;0,0090414;0,0143795;0,006393;0,0114564;0,0107955;0,0165961;0,0076430;0,0126238;0,040320;0,046560;0,038040;0,030375;0,029040;0,039825;0,038040;0,025250;0,033080;0,030440;0,037395;0,011621;0,026316;0,008681;0,009646;0,022004;0,019804;0,010764;0,018034;0,022948;0,022715;0,022386;0,022051
68;0,033900;0,052000;0,008287;0,013657;0,009288;0,015160;0,016963;0,029577;0,031867;0,026911;0,021990;0,010931;0,009731;0,019373;0,017414;0,009270;0,017630;0,007750;0,013230;0,0097934;0,0156326;0,0071061;0,0124987;0,0118387;0,0181790;0,0084090;0,0138735;0,044010;0,050460;0,041680;0,033221;0,031750;0,043603;0,041680;0,027610;0,036240;0,033190;0,040733;0,012877;0,029188;0,009702;0,010780;0,024699;0,022229;0,011763;0,019859;0,024870;0,024637;0,024296;0,023947
69;0,037410;0,056760;0,009102;0,015233;0,010163;0,016946;0,018853;0,032202;0,034836;0,029531;0,023890;0,011916;0,010653;0,021486;0,019296;0,010090;0,019250;0,008430;0,014460;0,0105983;0,0167943;0,0079214;0,0135974;0,0129839;0,0199136;0,0092517;0,0152497;0,048030;0,054700;0,045610;0,036361;0,034740;0,047651;0,045610;0,030210;0,039660;0,036170;0,044370;0,014461;0,032435;0,010922;0,012135;0,027574;0,024817;0,012709;0,021729;0,027027;0,026793;0,026443;0,026083
70;0,041230;0,061990;0,010034;0,016979;0,011165;0,018920;0,020964;0,035092;0,037916;0,032367;0,026000;0,013027;0,011697;0,023810;0,021371;0,011000;0,021020;0,009190;0,015810;0,0115216;0,0183789;0,0088362;0,0150356;0,0142412;0,0218138;0,0101801;0,0167636;0,052330;0,059300;0,049790;0,039825;0,038040;0,051914;0,049790;0,033080;0,043300;0,039510;0,048239;0,016477;0,036106;0,012385;0,013761;0,030589;0,027530;0,013730;0,023730;0,029359;0,029122;0,028766;0,028396
71;0,045400;0,067670;0,011117;0,018891;0,012339;0,021071;0,023321;0,038272;0,041101;0,035436;0,028340;0,014326;0,012905;0,026353;0,023647;0,012020;0,022950;0,010060;0,017300;0,0124819;0,0202899;0,0097454;0,0166761;0,0156207;0,0238942;0,0112029;0,0184301;0,056860;0,064270;0,054150;0,043603;0,041680;0,056337;0,054150;0,036240;0,047090;0,043300;0,052275;0,019000;0,040008;0,014128;0,015698;0,033727;0,030354;0,014953;0,025951;0,031839;0,031598;0,031234;0,030852
72;0,049940;0,073730;0,012386;0,020967;0,013734;0,023388;0,025954;0,041771;0,044420;0,038756;0,030930;0,015872;0,014319;0,029120;0,026131;0,013120;0,025080;0,011020;0,018930;0,0136001;0,0226976;0,010748;0,0187002;0,0171350;0,0261708;0,0123321;0,0202640;0,061580;0,069660;0,058650;0,047651;0,045610;0,060886;0,058650;0,039660;0,051000;0,047650;0,056458;0,021911;0,043827;0,016160;0,017955;0,037078;0,033370;0,016506;0,028481;0,034509;0,034268;0,033892;0,033496
